index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
37,635824397,635824398,635824401,635824415,635824426,635824427,635824416,636187889,636187889,636187891,636187895,636187900,1,3,14,25,1,-10,363473,0,2,4,5,363503
38,635824963,635824964,635824966,635824973,635824979,635824981,635824974,636327556,636327556,636327557,636327560,636327565,1,2,7,13,2,-5,502582,0,1,3,5,502602
39,635825037,635825038,635825039,635825046,635825053,635825054,635825047,636327572,636327572,636327574,636327576,636327580,1,1,7,14,1,-6,502525,0,2,2,4,502543
102,659716522,659716524,659716526,659716541,659716554,659716556,659716543,659849497,659849497,659849499,659849506,659849511,2,2,15,28,2,-11,132954,0,2,7,5,132989
103,659724312,659724312,659724314,659724322,659724329,659724330,659724322,659963534,659963534,659963536,659963539,659963543,0,2,8,15,1,-7,239212,0,2,3,4,239231
104,659726159,659726160,659726162,659726168,659726174,659726176,659726170,659963552,659963552,659963554,659963556,659963560,1,2,6,12,2,-4,237382,0,2,2,4,237401
234,702796277,702796278,702796280,702796295,702796309,702796310,702796298,702949995,702949995,702949997,702950002,702950007,1,2,15,29,1,-11,153697,0,2,5,5,153730
235,702798118,702798119,702798121,702798127,702798134,702798136,702798129,703063392,703063392,703063394,703063396,703063401,1,2,6,13,2,-5,265263,0,2,2,5,265283
236,702798192,702798193,702798195,702798201,702798208,702798209,702798202,703063415,703063415,703063417,703063419,703063422,1,2,6,13,1,-6,265213,0,2,2,3,265230
475,753180362,753180363,753180364,753180371,753180384,753180385,753180373,753373233,753373233,753373235,753373239,753373244,1,1,7,20,1,-11,192860,0,2,4,5,192882
476,753180383,753180384,753180387,753180391,753180396,753180406,753180400,753373249,753373249,753373251,753373253,753373256,1,3,4,9,10,4,192849,0,2,2,3,192873
594,776725724,776725726,776725728,776725737,776725752,776725753,776725738,776879550,776879550,776879552,776879556,776879560,2,2,9,24,1,-14,153812,0,2,4,4,153836
617,783029739,783029740,783029742,783029754,783029767,783029768,783029756,783201294,783201294,783201296,783201300,783201305,1,2,12,25,1,-11,171538,0,2,4,5,171566
629,787500198,787500199,787500201,787500216,787500228,787500229,787500217,787663714,787663714,787663716,787663720,787663725,1,2,15,27,1,-11,163497,0,2,4,5,163527
656,793787652,793787653,793787655,793787668,793787679,793787681,793787671,793961629,793961629,793961631,793961635,793961640,1,2,13,24,2,-8,173958,0,2,4,5,173988
996,932966155,932966156,932966158,932966173,932966186,932966188,932966175,933153207,933153207,933153209,933153213,933153217,1,2,15,28,2,-11,187032,0,2,4,4,187062
998,932968001,932968004,932968005,932968014,932968021,932968023,932968016,933200208,933200208,933200210,933200213,933200218,3,1,9,16,2,-5,232192,0,2,3,5,232217
1442,71777518,71777519,71777521,71777536,71777548,71777550,71777538,71928796,71928796,71928798,71928803,71928808,1,2,15,27,2,-10,151258,0,2,5,5,151290
1443,71777547,71777548,71777551,71777556,71777563,71777564,71777572,72019599,72019599,72019601,72019604,72019608,1,3,5,12,1,9,242027,0,2,3,4,242061
1444,71777606,71777607,71777608,71777613,71777619,71777621,71777615,72019615,72019615,72019617,72019619,72019622,1,1,5,11,2,-4,242000,0,2,2,3,242016
1445,71777813,71777814,71777816,71777821,71777825,71777827,71777822,72019637,72019637,72019639,72019641,72019644,1,2,5,9,2,-3,241815,0,2,2,3,241831
1446,71778061,71778062,71778064,71778068,71778073,71778083,71778069,72019662,72019662,72019663,72019665,72019669,1,2,4,9,10,-4,241593,0,1,2,4,241608
1448,71964846,71964847,71964849,71964855,71964861,71964862,71964856,72112374,72112374,72112375,72112378,72112383,1,2,6,12,1,-5,147518,0,1,3,5,147537
1449,71964850,71964851,71964862,71964866,71964870,71964885,71964874,72181718,72181718,72181720,72181722,72181726,1,11,4,8,15,4,216844,0,2,2,4,216876
1450,71964872,71964873,71964874,71964880,71964885,71964913,71964900,72181739,72181739,72181740,72181743,72181746,1,1,6,11,28,15,216839,0,1,3,3,216874
1451,71964892,71964894,71964904,71964906,71964911,71964925,71964917,72227186,72227186,72227188,72227190,72227194,2,10,2,7,14,6,262269,0,2,2,4,262302
1452,71964892,71964893,71964895,71964898,71964903,71964909,71964900,72181759,72181759,72181761,72181763,72181766,1,2,3,8,6,-3,216859,0,2,2,3,216874
3089,905279870,905279872,905279874,905279889,905279902,905279905,905279893,905479139,905479139,905479141,905479146,905479151,2,2,15,28,3,-9,199246,0,2,5,5,199281
3090,905279875,905279875,905279906,905279912,905279918,905279931,905279923,905479156,905479156,905479158,905479160,905479164,0,31,6,12,13,5,199233,0,2,2,4,199289
3091,905279883,905279884,905279922,905279927,905279932,905279957,905279940,905479175,905479175,905479177,905479179,905479183,1,38,5,10,25,8,199235,0,2,2,4,199300
3092,905279891,905279892,905279934,905279939,905279944,905279953,905279940,905479195,905479195,905479196,905479198,905479202,1,42,5,10,9,-4,199255,0,1,2,4,199311
3093,905280163,905280164,905280166,905280171,905280176,905280186,905280172,905550622,905550622,905550623,905550626,905550631,1,2,5,10,10,-4,270450,0,1,3,5,270468
3797,496433314,496433315,496433317,496433329,496433339,496433340,496433331,496538323,496538323,496538325,496538330,496538334,1,2,12,22,1,-8,104992,0,2,5,4,105020
3798,505905722,505905723,505905725,505905732,505905739,505905740,505905733,506050486,506050486,506050488,506050492,506050496,1,2,7,14,1,-6,144753,0,2,4,4,144774
3799,516721097,516721098,516721100,516721107,516721113,516721115,516721108,516866264,516866264,516866266,516866269,516866274,1,2,7,13,2,-5,145156,0,2,3,5,145177
3800,538610484,538610485,538610487,538610493,538610499,538610503,538610494,538730607,538730607,538730609,538730612,538730616,1,2,6,12,4,-5,120113,0,2,3,4,120132
3801,563912996,563912997,563912999,563913004,563913011,563913012,563913005,564029588,564029588,564029590,564029593,564029597,1,2,5,12,1,-6,116583,0,2,3,4,116601
